Number,Pathogen_Target,Latrine_ID,City,Depth,Depth_pathogen_presence,Top_from_same_latrine,Bottom_from_same_latrine,Middle_from_same_latrine,Top_Bot_combined_detections,Top_Mid_combined_detections,Bot_Mid_combined_detections,All_3_depths_detected,Only_2_depths_detected,Only_1_depth_detected,None_no_depths_detected,HH_population,shared_latrine,pit_type,ever_emptied,water_source,toilet_paper,latrine_age_years
2,AD4X_1,1,Blantyre,Top,0,0,1,1,1,1,2,0,1,0,0,7,1,slab,yes,public,paper,5
3,ASLU_1,1,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
4,ASTR_1,1,Blantyre,Top,0,0,1,1,1,1,2,0,1,0,0,7,1,slab,yes,public,paper,5
5,CRPA_1,1,Blantyre,Top,1,1,1,0,2,1,1,0,1,0,0,7,1,slab,yes,public,paper,5
6,EIES_1,1,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
7,ENHI_1,1,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
8,GIAR_1,1,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
9,ROTA_1,1,Blantyre,Top,0,0,1,1,1,1,2,0,1,0,0,7,1,slab,yes,public,paper,5
10,SALS_1,1,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
11,TRTR_1,1,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
12,VTOX_1,1,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
13,YERS_1,1,Blantyre,Top,0,0,0,1,0,1,1,0,0,1,0,7,1,slab,yes,public,paper,5
14,CDIF,1,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
15,EAEC,1,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
16,EPEC,1,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
17,ETEC,1,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
18,STEC,1,Blantyre,Top,1,1,0,0,1,1,0,0,0,1,0,7,1,slab,yes,public,paper,5
19,NORO,1,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
20,SAPV,1,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
21,CAMP,1,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
2,AD4X_1,1,Blantyre,Middle,1,0,1,1,1,1,2,0,1,0,0,7,1,slab,yes,public,paper,5
3,ASLU_1,1,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
4,ASTR_1,1,Blantyre,Middle,1,0,1,1,1,1,2,0,1,0,0,7,1,slab,yes,public,paper,5
5,CRPA_1,1,Blantyre,Middle,0,1,1,0,2,1,1,0,1,0,0,7,1,slab,yes,public,paper,5
6,EIES_1,1,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
7,ENHI_1,1,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
8,GIAR_1,1,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
9,ROTA_1,1,Blantyre,Middle,1,0,1,1,1,1,2,0,1,0,0,7,1,slab,yes,public,paper,5
10,SALS_1,1,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
11,TRTR_1,1,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
13,YERS_1,1,Blantyre,Middle,1,0,0,1,0,1,1,0,0,1,0,7,1,slab,yes,public,paper,5
14,CDIF,1,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
15,EAEC,1,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
